company,latitude,longitude,province,amphur,tumbon
Shell,13.78526,100.5208,กรุงเทพมหานคร,ดุสิต,ถนนนครไชยศรี
Shell,13.78257,100.5244,กรุงเทพมหานคร,ดุสิต,ถนนนครไชยศรี
PTT,13.77939193,100.4407415,กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี
PTT,13.792885,100.410862,กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี
PTT,13.7821006,100.4128913,กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี
PTT,13.7924848,100.422257,กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี
PTT,13.782682,100.415593,กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี
BCP,13.7819,100.41503,กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี
BCP,13.78276,100.414703,กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี
BCP,13.77638,100.45172,กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี
Shell,13.77952,100.4384,กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี
PTG,13.78187,100.4159,กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี
PTG,13.7926,100.4105,กรุงเทพมหานคร,ตลิ่งชัน,ฉิมพลี
PTT,13.793,100.4482,กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน
PTT,13.7857,100.4606,กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน
PTT,13.7923,100.4491,กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน
BCP,13.7905675,100.4471359,กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน
Shell,13.78486,100.4572,กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน
PTG,13.78357,100.4554,กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน
PTG,13.79183,100.4479,กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน
PTG,13.79833,100.4458,กรุงเทพมหานคร,ตลิ่งชัน,ตลิ่งชัน
PTT,13.751,100.4419,กรุงเทพมหานคร,ตลิ่งชัน,บางพรม
PTT,13.7531184,100.4480524,กรุงเทพมหานคร,ตลิ่งชัน,บางพรม
BCP,13.752568,100.451894,กรุงเทพมหานคร,ตลิ่งชัน,บางพรม
BCP,13.75278,100.44285,กรุงเทพมหานคร,ตลิ่งชัน,บางพรม
Shell,13.74592,100.4481,กรุงเทพมหานคร,ตลิ่งชัน,บางพรม
Shell,13.75218,100.4348,กรุงเทพมหานคร,ตลิ่งชัน,บางพรม
PTG,13.75167,100.4424,กรุงเทพมหานคร,ตลิ่งชัน,บางพรม
PTT,13.76198563,100.4444546,กรุงเทพมหานคร,ตลิ่งชัน,บางระมาด
PTT,13.76172175,100.4454619,กรุงเทพมหานคร,ตลิ่งชัน,บางระมาด
Shell,13.75881,100.4448,กรุงเทพมหานคร,ตลิ่งชัน,บางระมาด
Shell,13.76668,100.4079,กรุงเทพมหานคร,ตลิ่งชัน,บางระมาด
PTT,13.743379,100.356375,กรุงเทพมหานคร,ทวีวัฒนา,ทวีวัฒนา
PTT,13.76339378,100.3631632,กรุงเทพมหานคร,ทวีวัฒนา,ทวีวัฒนา
PTG,13.79734,100.3798,กรุงเทพมหานคร,ทวีวัฒนา,ทวีวัฒนา
PTT,13.78872592,100.3430192,กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์
PTT,13.784296,100.400887,กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์
PTT,13.797184,100.382661,กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์
PTT,13.77405489,100.4076478,กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์
BCP,13.78807,100.35645,กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์
BCP,13.79152,100.40933,กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์
BCP,13.787376,100.3713,กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์
BCP,13.78575,100.376969,กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์
BCP,13.78375187,100.3983933,กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์
Shell,13.7842,100.4024,กรุงเทพมหานคร,ทวีวัฒนา,ศาลาธรรมสพน์
